yıl,ay,gün,Yazar,Söz
2020,6,20,Rodney Dibibakır,"“İhtiyacı belirle, Çaresine bak.”"
2020,3,29,Sokrates,"“Koparılması mümkün olmayan tek bağ anne ile evlat arasındaki bağdır.”"
2020,3,30,İtalyan Atasözü,"“İyi dostlarla ve iyi bir aile sofrasında asla yaşlanmazsınız.”"
2020,4,4,Harry Potter,"“Her zaman.”"
2020,3,31,Martin Luther King,"“Sevginin gücünü keşfetmeliyiz, kurtaran sevginin gücünü. Ve biz onu keşfettiğimizde bu yaşlı dünyayı yeni bir dünya yapabileceğiz.”"
2020,4,1,Sezen Aksu,"“İlle de barış diyorum. İnsanlığımızı kaybetmeden bir an önce barış diyorum. İnsanın hiçbir amacı onurlu bir barıştan daha değerli değil.”"
2020,4,2,Gil Eyal,"“Otizme karşı değil, otizmle birlikte.”"
2020,4,3,Martin Luther King,"“Sevgiye saplanıp kalmaya karar verdim. Nefret, taşımak için çok ağır bir yük.”"
2020,4,5,Martin Luther King,"“Karanlık karanlığı uzaklaştıramaz; bunu ancak ışık yapabilir. Nefret nefreti uzaklaştıramaz; bunu ancak sevgi yapabilir.”"
2020,4,8,Sabahattin Ali,"“Günün birinde ya çıldıracağız , ya dünyaya hakim olacağız.”"
2020,4,9,William Shakespeare,"“Hastalık kapar gibi güzellik de kapsaydık ya!”"
